INDICATOR,YEAR,WHOREGION,COUNTRY,EXPENDITURES
Per capita total expenditure on health at average exchange rate (US$),2004,Eastern Mediterranean,Afghanistan,19.4
Per capita total expenditure on health at average exchange rate (US$),2002,Eastern Mediterranean,Afghanistan,14.2
Per capita total expenditure on health at average exchange rate (US$),2009,Eastern Mediterranean,Afghanistan,34.9
Per capita total expenditure on health at average exchange rate (US$),2012,Eastern Mediterranean,Afghanistan,51.5
Per capita total expenditure on health at average exchange rate (US$),2007,Eastern Mediterranean,Afghanistan,30
Per capita total expenditure on health at average exchange rate (US$),2010,Eastern Mediterranean,Afghanistan,43.3
Per capita total expenditure on health at average exchange rate (US$),2008,Eastern Mediterranean,Afghanistan,34.7
Per capita total expenditure on health at average exchange rate (US$),2011,Eastern Mediterranean,Afghanistan,48.2
Per capita government expenditure on health (PPP int. $),1997,Europe,Albania,56.8
Per capita government expenditure on health (PPP int. $),1995,Europe,Albania,46.9
Per capita government expenditure on health (PPP int. $),1998,Europe,Albania,67.3
Per capita government expenditure on health (PPP int. $),2000,Europe,Albania,89.4
Per capita government expenditure on health (PPP int. $),1996,Europe,Albania,53.4
Per capita government expenditure on health (PPP int. $),2001,Europe,Albania,99.8
Per capita government expenditure on health (PPP int. $),2003,Europe,Albania,112.3
Per capita government expenditure on health (PPP int. $),2004,Europe,Albania,146.5
Per capita government expenditure on health (PPP int. $),2007,Europe,Albania,188.9
Per capita government expenditure on health (PPP int. $),1999,Europe,Albania,90.3
Per capita government expenditure on health (PPP int. $),2005,Europe,Albania,162.3
Per capita government expenditure on health (PPP int. $),2002,Europe,Albania,103.5
Per capita government expenditure on health (PPP int. $),2006,Europe,Albania,173.8
Per capita government expenditure on health (PPP int. $),2010,Europe,Albania,218.7
Per capita government expenditure on health (PPP int. $),2008,Europe,Albania,220.6
Per capita government expenditure on health (PPP int. $),2011,Europe,Albania,256.2
Per capita government expenditure on health (PPP int. $),2012,Europe,Albania,257.7
Per capita government expenditure on health (PPP int. $),2009,Europe,Albania,244.6
Per capita government expenditure on health at average exchange rate (US$),1999,Europe,Albania,26.1
Per capita government expenditure on health at average exchange rate (US$),1995,Europe,Albania,12.4
Per capita government expenditure on health at average exchange rate (US$),1996,Europe,Albania,15.8
Per capita government expenditure on health at average exchange rate (US$),2000,Europe,Albania,25.2
Per capita government expenditure on health at average exchange rate (US$),1997,Europe,Albania,13.2
Per capita government expenditure on health at average exchange rate (US$),1998,Europe,Albania,17.3
Per capita government expenditure on health at average exchange rate (US$),2004,Europe,Albania,62.1
Per capita government expenditure on health at average exchange rate (US$),2003,Europe,Albania,39
Per capita government expenditure on health at average exchange rate (US$),2005,Europe,Albania,70.9
Per capita government expenditure on health at average exchange rate (US$),2010,Europe,Albania,93.8
Per capita government expenditure on health at average exchange rate (US$),2002,Europe,Albania,30.8
Per capita government expenditure on health at average exchange rate (US$),2001,Europe,Albania,28.6
Per capita government expenditure on health at average exchange rate (US$),2006,Europe,Albania,74
Per capita government expenditure on health at average exchange rate (US$),2007,Europe,Albania,88.9
Per capita government expenditure on health at average exchange rate (US$),2009,Europe,Albania,108.3
Per capita government expenditure on health at average exchange rate (US$),2012,Europe,Albania,108.3
Per capita government expenditure on health at average exchange rate (US$),2008,Europe,Albania,109.9
Per capita government expenditure on health at average exchange rate (US$),2011,Europe,Albania,116.5
Per capita total expenditure on health (PPP int. $),1996,Europe,Albania,135.4
Per capita total expenditure on health (PPP int. $),1998,Europe,Albania,170.2
Per capita total expenditure on health (PPP int. $),1997,Europe,Albania,144.9
Per capita total expenditure on health (PPP int. $),1999,Europe,Albania,208.6
Per capita total expenditure on health (PPP int. $),1995,Europe,Albania,97.6
Per capita total expenditure on health (PPP int. $),2000,Europe,Albania,247.6
Per capita total expenditure on health (PPP int. $),2002,Europe,Albania,297.3
Per capita total expenditure on health (PPP int. $),2004,Europe,Albania,349
Per capita total expenditure on health (PPP int. $),2006,Europe,Albania,395.4
Per capita total expenditure on health (PPP int. $),2007,Europe,Albania,462.5
Per capita total expenditure on health (PPP int. $),2001,Europe,Albania,261.3
Per capita total expenditure on health (PPP int. $),2005,Europe,Albania,366.8
Per capita total expenditure on health (PPP int. $),2003,Europe,Albania,312.5
Per capita total expenditure on health (PPP int. $),2010,Europe,Albania,481.9
Per capita total expenditure on health (PPP int. $),2009,Europe,Albania,519.5
Per capita total expenditure on health (PPP int. $),2011,Europe,Albania,534.5
Per capita total expenditure on health (PPP int. $),2008,Europe,Albania,504.4
Per capita total expenditure on health (PPP int. $),2012,Europe,Albania,541.4
Per capita total expenditure on health at average exchange rate (US$),1995,Europe,Albania,25.7
Per capita total expenditure on health at average exchange rate (US$),2000,Europe,Albania,69.9
Per capita total expenditure on health at average exchange rate (US$),1998,Europe,Albania,43.6
Per capita total expenditure on health at average exchange rate (US$),1997,Europe,Albania,33.5
Per capita total expenditure on health at average exchange rate (US$),1999,Europe,Albania,60.2
Per capita total expenditure on health at average exchange rate (US$),1996,Europe,Albania,40
Per capita total expenditure on health at average exchange rate (US$),2001,Europe,Albania,74.8
Per capita total expenditure on health at average exchange rate (US$),2007,Europe,Albania,217.6
Per capita total expenditure on health at average exchange rate (US$),2002,Europe,Albania,88.5
Per capita total expenditure on health at average exchange rate (US$),2010,Europe,Albania,206.6
Per capita total expenditure on health at average exchange rate (US$),2009,Europe,Albania,230
Per capita total expenditure on health at average exchange rate (US$),2003,Europe,Albania,108.4
Per capita total expenditure on health at average exchange rate (US$),2004,Europe,Albania,148
Per capita total expenditure on health at average exchange rate (US$),2005,Europe,Albania,160.3
Per capita total expenditure on health at average exchange rate (US$),2006,Europe,Albania,168.3
Per capita total expenditure on health at average exchange rate (US$),2012,Europe,Albania,227.5
Per capita total expenditure on health at average exchange rate (US$),2011,Europe,Albania,242.9
Per capita total expenditure on health at average exchange rate (US$),2008,Europe,Albania,251.4
Per capita government expenditure on health (PPP int. $),2000,Africa,Algeria,132.9
Per capita government expenditure on health (PPP int. $),2006,Africa,Algeria,167.8
Per capita government expenditure on health (PPP int. $),2007,Africa,Algeria,201.6
Per capita government expenditure on health (PPP int. $),1999,Africa,Algeria,120.2
Per capita government expenditure on health (PPP int. $),2002,Africa,Algeria,160.2
Per capita government expenditure on health (PPP int. $),2003,Africa,Algeria,170.1
Per capita government expenditure on health (PPP int. $),1995,Africa,Algeria,119
Per capita government expenditure on health (PPP int. $),1998,Africa,Algeria,123.6
Per capita government expenditure on health (PPP int. $),2001,Africa,Algeria,158.5
Per capita government expenditure on health (PPP int. $),1996,Africa,Algeria,115
Per capita government expenditure on health (PPP int. $),1997,Africa,Algeria,119
Per capita government expenditure on health (PPP int. $),2005,Africa,Algeria,159.6
Per capita government expenditure on health (PPP int. $),2004,Africa,Algeria,167.1
Per capita government expenditure on health (PPP int. $),2010,Africa,Algeria,265
Per capita government expenditure on health (PPP int. $),2009,Africa,Algeria,283.9
Per capita government expenditure on health (PPP int. $),2011,Africa,Algeria,300.1
Per capita government expenditure on health (PPP int. $),2012,Africa,Algeria,369.3
Per capita government expenditure on health (PPP int. $),2008,Africa,Algeria,236.1
Per capita government expenditure on health at average exchange rate (US$),2002,Africa,Algeria,49.7
Per capita government expenditure on health at average exchange rate (US$),2001,Africa,Algeria,50.6
Per capita government expenditure on health at average exchange rate (US$),1999,Africa,Algeria,37.1
Per capita government expenditure on health at average exchange rate (US$),2003,Africa,Algeria,57.6
Per capita government expenditure on health at average exchange rate (US$),2005,Africa,Algeria,69.3
Per capita government expenditure on health at average exchange rate (US$),2006,Africa,Algeria,79.2
Per capita government expenditure on health at average exchange rate (US$),1997,Africa,Algeria,40.5
Per capita government expenditure on health at average exchange rate (US$),2004,Africa,Algeria,65.4
Per capita government expenditure on health at average exchange rate (US$),1996,Africa,Algeria,39.4
Per capita government expenditure on health at average exchange rate (US$),1995,Africa,Algeria,38.4
Per capita government expenditure on health at average exchange rate (US$),1998,Africa,Algeria,39.5
Per capita government expenditure on health at average exchange rate (US$),2000,Africa,Algeria,44.2
Per capita government expenditure on health at average exchange rate (US$),2007,Africa,Algeria,104.1
Per capita government expenditure on health at average exchange rate (US$),2008,Africa,Algeria,146.6
Per capita government expenditure on health at average exchange rate (US$),2009,Africa,Algeria,137.8
Per capita government expenditure on health at average exchange rate (US$),2012,Africa,Algeria,234.4
Per capita government expenditure on health at average exchange rate (US$),2010,Africa,Algeria,143.6
Per capita government expenditure on health at average exchange rate (US$),2011,Africa,Algeria,190.8
Per capita total expenditure on health (PPP int. $),1996,Africa,Algeria,154
Per capita total expenditure on health (PPP int. $),1997,Africa,Algeria,167.5
Per capita total expenditure on health (PPP int. $),2000,Africa,Algeria,181.2
Per capita total expenditure on health (PPP int. $),1995,Africa,Algeria,164.7
Per capita total expenditure on health (PPP int. $),2001,Africa,Algeria,204.7
Per capita total expenditure on health (PPP int. $),2006,Africa,Algeria,225.5
Per capita total expenditure on health (PPP int. $),2004,Africa,Algeria,230.8
Per capita total expenditure on health (PPP int. $),2003,Africa,Algeria,218.5
Per capita total expenditure on health (PPP int. $),1999,Africa,Algeria,173.2
Per capita total expenditure on health (PPP int. $),1998,Africa,Algeria,175.7
Per capita total expenditure on health (PPP int. $),2005,Africa,Algeria,219.5
Per capita total expenditure on health (PPP int. $),2008,Africa,Algeria,295
Per capita total expenditure on health (PPP int. $),2007,Africa,Algeria,261.4
Per capita total expenditure on health (PPP int. $),2009,Africa,Algeria,357.7
Per capita total expenditure on health (PPP int. $),2011,Africa,Algeria,365.9
Per capita total expenditure on health (PPP int. $),2012,Africa,Algeria,439
Per capita total expenditure on health (PPP int. $),2002,Africa,Algeria,209.5
Per capita total expenditure on health (PPP int. $),2010,Africa,Algeria,334.8
Per capita total expenditure on health at average exchange rate (US$),2002,Africa,Algeria,65
Per capita total expenditure on health at average exchange rate (US$),1997,Africa,Algeria,57.1
Per capita total expenditure on health at average exchange rate (US$),2001,Africa,Algeria,65.4
Per capita total expenditure on health at average exchange rate (US$),2003,Africa,Algeria,74.1
Per capita total expenditure on health at average exchange rate (US$),1998,Africa,Algeria,56.2
Per capita total expenditure on health at average exchange rate (US$),2000,Africa,Algeria,60.3
Per capita total expenditure on health at average exchange rate (US$),1996,Africa,Algeria,52.7
Per capita total expenditure on health at average exchange rate (US$),1995,Africa,Algeria,53.1
Per capita total expenditure on health at average exchange rate (US$),1999,Africa,Algeria,53.4
Per capita total expenditure on health at average exchange rate (US$),2004,Africa,Algeria,90.4
Per capita total expenditure on health at average exchange rate (US$),2010,Africa,Algeria,181.4
Per capita total expenditure on health at average exchange rate (US$),2008,Africa,Algeria,183.2
Per capita total expenditure on health at average exchange rate (US$),2007,Africa,Algeria,134.9
Per capita total expenditure on health at average exchange rate (US$),2009,Africa,Algeria,173.7
Per capita total expenditure on health at average exchange rate (US$),2005,Africa,Algeria,95.3
Per capita total expenditure on health at average exchange rate (US$),2006,Africa,Algeria,106.4
Per capita total expenditure on health at average exchange rate (US$),2011,Africa,Algeria,232.6
Per capita total expenditure on health at average exchange rate (US$),2012,Africa,Algeria,278.6
Per capita government expenditure on health (PPP int. $),1998,Europe,Andorra,1668.9
Per capita government expenditure on health (PPP int. $),2008,Europe,Andorra,2056.8
Per capita government expenditure on health (PPP int. $),2002,Europe,Andorra,1488.1
Per capita government expenditure on health (PPP int. $),1997,Europe,Andorra,1181.2
Per capita government expenditure on health (PPP int. $),2004,Europe,Andorra,1607.8
Per capita government expenditure on health (PPP int. $),2011,Europe,Andorra,2244.7
Per capita government expenditure on health (PPP int. $),1995,Europe,Andorra,947
Per capita government expenditure on health (PPP int. $),1996,Europe,Andorra,1039.1
Per capita government expenditure on health (PPP int. $),1999,Europe,Andorra,1211.8
Per capita government expenditure on health (PPP int. $),2001,Europe,Andorra,1343.4
Per capita government expenditure on health (PPP int. $),2003,Europe,Andorra,1532.7
Per capita government expenditure on health (PPP int. $),2005,Europe,Andorra,1723.3
Per capita government expenditure on health (PPP int. $),2006,Europe,Andorra,1996.4
Per capita government expenditure on health (PPP int. $),2010,Europe,Andorra,2278
Per capita government expenditure on health (PPP int. $),2000,Europe,Andorra,1282.3
Per capita government expenditure on health (PPP int. $),2007,Europe,Andorra,2103.9
Per capita government expenditure on health (PPP int. $),2012,Europe,Andorra,2678.9
Per capita government expenditure on health (PPP int. $),2009,Europe,Andorra,1962.2
Per capita government expenditure on health at average exchange rate (US$),1999,Europe,Andorra,942.4
Per capita government expenditure on health at average exchange rate (US$),1997,Europe,Andorra,966.5
Per capita government expenditure on health at average exchange rate (US$),1996,Europe,Andorra,982.8
Per capita government expenditure on health at average exchange rate (US$),2005,Europe,Andorra,1628.7
Per capita government expenditure on health at average exchange rate (US$),1995,Europe,Andorra,897.2
Per capita government expenditure on health at average exchange rate (US$),2001,Europe,Andorra,889.6
Per capita government expenditure on health at average exchange rate (US$),1998,Europe,Andorra,1338.3
Per capita government expenditure on health at average exchange rate (US$),2008,Europe,Andorra,2169.3
Per capita government expenditure on health at average exchange rate (US$),2011,Europe,Andorra,2246.7
Per capita government expenditure on health at average exchange rate (US$),2000,Europe,Andorra,862.4
Per capita government expenditure on health at average exchange rate (US$),2002,Europe,Andorra,1022.3
Per capita government expenditure on health at average exchange rate (US$),2004,Europe,Andorra,1517.2
Per capita government expenditure on health at average exchange rate (US$),2006,Europe,Andorra,1853.3
Per capita government expenditure on health at average exchange rate (US$),2003,Europe,Andorra,1297.4
Per capita government expenditure on health at average exchange rate (US$),2009,Europe,Andorra,1935.4
Per capita government expenditure on health at average exchange rate (US$),2010,Europe,Andorra,2172.4
Per capita government expenditure on health at average exchange rate (US$),2012,Europe,Andorra,2340.6
Per capita government expenditure on health at average exchange rate (US$),2007,Europe,Andorra,2102
Per capita total expenditure on health (PPP int. $),1996,Europe,Andorra,1593.1
Per capita total expenditure on health (PPP int. $),1995,Europe,Andorra,1469.4
Per capita total expenditure on health (PPP int. $),1997,Europe,Andorra,1784.5
Per capita total expenditure on health (PPP int. $),2002,Europe,Andorra,2162.6
Per capita total expenditure on health (PPP int. $),1998,Europe,Andorra,2316.6
Per capita total expenditure on health (PPP int. $),1999,Europe,Andorra,1831.8
Per capita total expenditure on health (PPP int. $),2000,Europe,Andorra,1978.1
Per capita total expenditure on health (PPP int. $),2003,Europe,Andorra,2234.4
Per capita total expenditure on health (PPP int. $),2011,Europe,Andorra,3050.4
Per capita total expenditure on health (PPP int. $),2004,Europe,Andorra,2324.3
Per capita total expenditure on health (PPP int. $),2009,Europe,Andorra,2799.9
Per capita total expenditure on health (PPP int. $),2008,Europe,Andorra,2943.7
Per capita total expenditure on health (PPP int. $),2012,Europe,Andorra,3498.6
Per capita total expenditure on health (PPP int. $),2005,Europe,Andorra,2492.4
Per capita total expenditure on health (PPP int. $),2006,Europe,Andorra,2834.6
Per capita total expenditure on health (PPP int. $),2010,Europe,Andorra,3101.5
Per capita total expenditure on health (PPP int. $),2001,Europe,Andorra,1954.1
Per capita total expenditure on health (PPP int. $),2007,Europe,Andorra,3014.4
Per capita total expenditure on health at average exchange rate (US$),1999,Europe,Andorra,1424.6
Per capita total expenditure on health at average exchange rate (US$),1997,Europe,Andorra,1460.1
Per capita total expenditure on health at average exchange rate (US$),1998,Europe,Andorra,1857.6
Per capita total expenditure on health at average exchange rate (US$),2000,Europe,Andorra,1330.4
Per capita total expenditure on health at average exchange rate (US$),1995,Europe,Andorra,1392.2
Per capita total expenditure on health at average exchange rate (US$),2012,Europe,Andorra,3056.7
Per capita total expenditure on health at average exchange rate (US$),2001,Europe,Andorra,1294
Per capita total expenditure on health at average exchange rate (US$),1996,Europe,Andorra,1506.7
Per capita total expenditure on health at average exchange rate (US$),2003,Europe,Andorra,1891.4
Per capita total expenditure on health at average exchange rate (US$),2005,Europe,Andorra,2355.7
Per capita total expenditure on health at average exchange rate (US$),2008,Europe,Andorra,3104.6
Per capita total expenditure on health at average exchange rate (US$),2002,Europe,Andorra,1485.8
Per capita total expenditure on health at average exchange rate (US$),2007,Europe,Andorra,3011.8
Per capita total expenditure on health at average exchange rate (US$),2011,Europe,Andorra,3053.1
Per capita total expenditure on health at average exchange rate (US$),2006,Europe,Andorra,2631.4
Per capita total expenditure on health at average exchange rate (US$),2004,Europe,Andorra,2193.4
Per capita total expenditure on health at average exchange rate (US$),2009,Europe,Andorra,2761.6
Per capita total expenditure on health at average exchange rate (US$),2010,Europe,Andorra,2957.7
Per capita government expenditure on health (PPP int. $),1998,Africa,Angola,29.9
Per capita government expenditure on health (PPP int. $),2000,Africa,Angola,36.9
Per capita government expenditure on health (PPP int. $),1997,Africa,Angola,43.7
Per capita government expenditure on health (PPP int. $),1995,Africa,Angola,59.5
Per capita government expenditure on health (PPP int. $),2001,Africa,Angola,63.1
Per capita government expenditure on health (PPP int. $),2004,Africa,Angola,69.5
Per capita government expenditure on health (PPP int. $),2005,Africa,Angola,69.5
Per capita government expenditure on health (PPP int. $),1999,Africa,Angola,45.9
Per capita government expenditure on health (PPP int. $),1996,Africa,Angola,33.6
Per capita government expenditure on health (PPP int. $),2002,Africa,Angola,46.4
Per capita government expenditure on health (PPP int. $),2003,Africa,Angola,54.3
Per capita government expenditure on health (PPP int. $),2007,Africa,Angola,108.7
Per capita government expenditure on health (PPP int. $),2008,Africa,Angola,150.1
Per capita government expenditure on health (PPP int. $),2011,Africa,Angola,124.1
Per capita government expenditure on health (PPP int. $),2009,Africa,Angola,147.1
Per capita government expenditure on health (PPP int. $),2010,Africa,Angola,115.5
Per capita government expenditure on health (PPP int. $),2006,Africa,Angola,121.7
Per capita government expenditure on health (PPP int. $),2012,Africa,Angola,131.9
Per capita government expenditure on health at average exchange rate (US$),1999,Africa,Angola,9.7
Per capita government expenditure on health at average exchange rate (US$),1998,Africa,Angola,6.9
Per capita government expenditure on health at average exchange rate (US$),1997,Africa,Angola,13
Per capita government expenditure on health at average exchange rate (US$),2001,Africa,Angola,17.5
Per capita government expenditure on health at average exchange rate (US$),2003,Africa,Angola,19.1
Per capita government expenditure on health at average exchange rate (US$),1996,Africa,Angola,9.4
Per capita government expenditure on health at average exchange rate (US$),2000,Africa,Angola,11
Per capita government expenditure on health at average exchange rate (US$),2002,Africa,Angola,14.1
Per capita government expenditure on health at average exchange rate (US$),1995,Africa,Angola,14.4
Per capita government expenditure on health at average exchange rate (US$),2007,Africa,Angola,75.6
Per capita government expenditure on health at average exchange rate (US$),2004,Africa,Angola,30.3
Per capita government expenditure on health at average exchange rate (US$),2010,Africa,Angola,87
Per capita government expenditure on health at average exchange rate (US$),2005,Africa,Angola,35.5
Per capita government expenditure on health at average exchange rate (US$),2006,Africa,Angola,73.8
Per capita government expenditure on health at average exchange rate (US$),2009,Africa,Angola,106.3
Per capita government expenditure on health at average exchange rate (US$),2012,Africa,Angola,118.4
Per capita government expenditure on health at average exchange rate (US$),2008,Africa,Angola,124.9
Per capita government expenditure on health at average exchange rate (US$),2011,Africa,Angola,111.2
Per capita total expenditure on health (PPP int. $),1995,Africa,Angola,84.2
Per capita total expenditure on health (PPP int. $),1996,Africa,Angola,64.5
Per capita total expenditure on health (PPP int. $),2000,Africa,Angola,74.5
Per capita total expenditure on health (PPP int. $),2001,Africa,Angola,130.6
Per capita total expenditure on health (PPP int. $),2005,Africa,Angola,139
Per capita total expenditure on health (PPP int. $),2011,Africa,Angola,198.3
Per capita total expenditure on health (PPP int. $),1998,Africa,Angola,99.4
Per capita total expenditure on health (PPP int. $),2004,Africa,Angola,145.1
Per capita total expenditure on health (PPP int. $),2007,Africa,Angola,166.1
Per capita total expenditure on health (PPP int. $),2006,Africa,Angola,182.9
Per capita total expenditure on health (PPP int. $),2010,Africa,Angola,191
Per capita total expenditure on health (PPP int. $),1997,Africa,Angola,91.7
Per capita total expenditure on health (PPP int. $),2002,Africa,Angola,110
Per capita total expenditure on health (PPP int. $),1999,Africa,Angola,88.4
Per capita total expenditure on health (PPP int. $),2003,Africa,Angola,126.6
Per capita total expenditure on health (PPP int. $),2009,Africa,Angola,241.4
Per capita total expenditure on health (PPP int. $),2008,Africa,Angola,212.4
Per capita total expenditure on health (PPP int. $),2012,Africa,Angola,212.1
Per capita total expenditure on health at average exchange rate (US$),1996,Africa,Angola,18.1
Per capita total expenditure on health at average exchange rate (US$),2000,Africa,Angola,22.2
Per capita total expenditure on health at average exchange rate (US$),1999,Africa,Angola,18.7
Per capita total expenditure on health at average exchange rate (US$),1998,Africa,Angola,23.1
Per capita total expenditure on health at average exchange rate (US$),1995,Africa,Angola,20.3
Per capita total expenditure on health at average exchange rate (US$),2004,Africa,Angola,63.4
Per capita total expenditure on health at average exchange rate (US$),2002,Africa,Angola,33.5
Per capita total expenditure on health at average exchange rate (US$),2001,Africa,Angola,36.2
Per capita total expenditure on health at average exchange rate (US$),2003,Africa,Angola,44.6
Per capita total expenditure on health at average exchange rate (US$),1997,Africa,Angola,27.4
Per capita total expenditure on health at average exchange rate (US$),2005,Africa,Angola,71
Per capita total expenditure on health at average exchange rate (US$),2009,Africa,Angola,174.3
Per capita total expenditure on health at average exchange rate (US$),2011,Africa,Angola,177.6
Per capita total expenditure on health at average exchange rate (US$),2006,Africa,Angola,110.9
Per capita total expenditure on health at average exchange rate (US$),2008,Africa,Angola,176.7
Per capita total expenditure on health at average exchange rate (US$),2007,Africa,Angola,115.5
Per capita total expenditure on health at average exchange rate (US$),2010,Africa,Angola,143.8
Per capita total expenditure on health at average exchange rate (US$),2012,Africa,Angola,190.5
Per capita government expenditure on health (PPP int. $),1995,Americas,Antigua and Barbuda,386.3
Per capita government expenditure on health (PPP int. $),2001,Americas,Antigua and Barbuda,420.8
Per capita government expenditure on health (PPP int. $),2003,Americas,Antigua and Barbuda,465.1
Per capita government expenditure on health (PPP int. $),2000,Americas,Antigua and Barbuda,408.6
Per capita government expenditure on health (PPP int. $),1996,Americas,Antigua and Barbuda,372.9
Per capita government expenditure on health (PPP int. $),1997,Americas,Antigua and Barbuda,402
Per capita government expenditure on health (PPP int. $),1998,Americas,Antigua and Barbuda,426.1
Per capita government expenditure on health (PPP int. $),2002,Americas,Antigua and Barbuda,434.6
Per capita government expenditure on health (PPP int. $),2004,Americas,Antigua and Barbuda,452.7
Per capita government expenditure on health (PPP int. $),1999,Americas,Antigua and Barbuda,451.1
Per capita government expenditure on health (PPP int. $),2007,Americas,Antigua and Barbuda,699.9
Per capita government expenditure on health (PPP int. $),2012,Americas,Antigua and Barbuda,776.3
Per capita government expenditure on health (PPP int. $),2005,Americas,Antigua and Barbuda,542.3
Per capita government expenditure on health (PPP int. $),2010,Americas,Antigua and Barbuda,836
Per capita government expenditure on health (PPP int. $),2006,Americas,Antigua and Barbuda,628.1
Per capita government expenditure on health (PPP int. $),2008,Americas,Antigua and Barbuda,708
Per capita government expenditure on health (PPP int. $),2009,Americas,Antigua and Barbuda,704.3
Per capita government expenditure on health (PPP int. $),2011,Americas,Antigua and Barbuda,782.4
Per capita government expenditure on health at average exchange rate (US$),1996,Americas,Antigua and Barbuda,227.8
Per capita government expenditure on health at average exchange rate (US$),2002,Americas,Antigua and Barbuda,295.8
Per capita government expenditure on health at average exchange rate (US$),2008,Americas,Antigua and Barbuda,465.7
Per capita government expenditure on health at average exchange rate (US$),2011,Americas,Antigua and Barbuda,518.4
Per capita government expenditure on health at average exchange rate (US$),1997,Americas,Antigua and Barbuda,246.1
Per capita government expenditure on health at average exchange rate (US$),1998,Americas,Antigua and Barbuda,263.5
Per capita government expenditure on health at average exchange rate (US$),2005,Americas,Antigua and Barbuda,356.4
Per capita government expenditure on health at average exchange rate (US$),1999,Americas,Antigua and Barbuda,277.6
Per capita government expenditure on health at average exchange rate (US$),2000,Americas,Antigua and Barbuda,281.4
Per capita government expenditure on health at average exchange rate (US$),2006,Americas,Antigua and Barbuda,401.2
Per capita government expenditure on health at average exchange rate (US$),2009,Americas,Antigua and Barbuda,467.5
Per capita government expenditure on health at average exchange rate (US$),2001,Americas,Antigua and Barbuda,289.1
Per capita government expenditure on health at average exchange rate (US$),2007,Americas,Antigua and Barbuda,450.6
Per capita government expenditure on health at average exchange rate (US$),2012,Americas,Antigua and Barbuda,513.6
Per capita government expenditure on health at average exchange rate (US$),1995,Americas,Antigua and Barbuda,234.1
Per capita government expenditure on health at average exchange rate (US$),2003,Americas,Antigua and Barbuda,306.3
Per capita government expenditure on health at average exchange rate (US$),2004,Americas,Antigua and Barbuda,294.6
Per capita government expenditure on health at average exchange rate (US$),2010,Americas,Antigua and Barbuda,555
Per capita total expenditure on health (PPP int. $),1998,Americas,Antigua and Barbuda,627.1
